,base,tag
52120,bare,ign
52121,hands,ign
52122,surgery,ign
52123,uzdrawiacz,subst:pl:gen:m1
52124,niemerytoryczność,subst:sg:nom:f
52125,Adoracjii,ign
52126,bierzmowanie,subst:sg:gen:n
52127,wróżek,subst:sg:nom:m1
52128,uzdrowiciel,subst:pl:gen:m1
52129,spirytyzm,subst:sg:nom:m3
52130,KrK,ign
52131,Kaz,ign
52132,opętanie,subst:sg:gen:n
52133,Ehh,ign
52134,Vivere,ign
52135,zelota,subst:pl:nom:m1
52136,okultyzm,subst:sg:nom:m3
52137,offtopie,ign
52138,Neuman,ign
52139,izdebka,subst:sg:gen:f
52140,lucyfer,subst:sg:gen:m1
52141,santerię,ign
52142,okultystyczno,ign
52143,zabobon,subst:pl:inst:m3
52144,Annaliese,ign
52145,Micheal,ign
52146,aniołeczek,subst:sg:nom:m2
52147,wlasnego,ign
52148,~,interp
52149,rozszeża,ign
52150,odcinkowy,adj:sg:nom:m1:pos
52151,wystrzeliwać,ppas:sg:nom:n:imperf:aff
52152,naście,num:pl:nom:m1:rec
52153,notarialnie,adv:pos
52154,Księzycu,ign
52155,Hradka,ign
52156,Zittau,ign
52157,Porajowa,ign
52158,Sieniawki,ign
52159,Sosnkowski,subst:sg:nom:m1
52160,maciejówka,subst:sg:gen:f
52161,mórg,subst:pl:gen:m3
52162,Sewer,subst:sg:nom:m1
52163,ochłodły,adj:sg:nom:m1:pos
52164,wybadać,inf:perf
52165,Czetwertyński,ign
52166,lont,subst:pl:nom:m3
52167,NKN,ign
52168,zamarynować,praet:sg:f:perf
52169,twarzo,ign
52170,krwiak,subst:pl:nom:m2
52171,reporterski,adj:sg:gen:f:pos
52172,zacisz,subst:pl:nom:f
52173,gazpromu,ign
52174,gazoport,subst:sg:gen:m3
52175,elokwentny,adj:sg:nom:m1:pos
52176,Naimski,ign
52177,Nitras,ign
52178,Benfiki,ign
52179,Alverca,ign
52180,Alverce,ign
52181,SC,ign
52182,Salgueiros,ign
52183,Deco,ign
52184,KALASIŃSKA,ign
52185,Betanii,ign
52186,Karan,ign
52187,Karanu,ign
52188,STYPUŁKOWSKA,ign
52189,Betania,ign
52190,niesień,subst:pl:nom:f
52191,betańczyków,ign
52192,Mstów,subst:sg:loc:m3
52193,Cichobłazińska,ign
52194,CICHOBŁAZIŃSKA,ign
52195,autyzm,subst:sg:nom:m3
52196,charyzmat,subst:sg:nom:m3
52197,narkomański,adj:pl:gen:m1:pos
52198,referent,subst:sg:gen:m1
52199,Sternalski,ign
52200,Carlos,subst:sg:gen:m1
52201,przysiadać,fin:pl:ter:imperf
52202,rozpłaszczyć,ppas:pl:gen:m1:perf:aff
52203,wypiętrzać,fin:pl:ter:imperf
52204,zasnuwać,fin:sg:ter:imperf
52205,marlborasy,ign
52206,american,ign
52207,camionette,ign
52208,Gipson,ign
52209,poblask,subst:sg:nom:m3
52210,jarzeniówka,subst:sg:gen:f
52211,omywać,fin:sg:ter:imperf
52212,poliglota,subst:sg:nom:m1
52213,bamburyło,ign
52214,wychodźstwo,subst:sg:gen:n
52215,Dyzio,subst:sg:nom:m1
52216,rozszarpywać,fin:sg:ter:imperf
52217,winietka,subst:sg:gen:f
52218,kismet,subst:sg:nom:m3
52219,pawilonik,subst:sg:gen:m3
52220,taksówkowy,adj:sg:gen:f:pos
52221,zakuty,adj:sg:nom:n:pos
52222,karaluch,subst:pl:nom:m2
52223,psikać,ger:sg:nom:n:imperf:aff
52224,podwędzać,ppas:sg:gen:f:imperf:aff
52225,Żalvarinis,ign
52226,www.gadki.lublin.pl/east/z/index.html,subst:sg:nom:m3
52227,podrasować,ger:sg:nom:n:perf:aff
52228,Jakubisiaka,ign
52229,Zońką,ign
52230,Rettingerami,ign
52231,Lourse'a,ign
52232,tartinka,subst:pl:inst:f
52233,Józewscy,ign
52234,elżbietanka,subst:pl:gen:f
52235,przerosły,adj:sg:nom:f:pos
52236,Wiedeno,ign
52237,Dżochar,ign
52238,Szamila,ign
52239,lekkoduch,subst:sg:inst:m1
52240,służbistość,subst:sg:inst:f
52241,Sulejman,subst:sg:nom:m1
52242,Isy,ign
52243,jednaki,adj:sg:nom:n:pos
52244,Isa,ign
52245,wytrzasnąć,fin:sg:pri:perf
52246,Szamil,ign
52247,Basajewem,ign
52248,Dumas,subst:sg:gen:m1
52249,plątać,praet:pl:m2:imperf
52250,Chalida,ign
52251,Chalid,ign
52252,Atagach,ign
52253,oszczerczy,adj:pl:gen:m1:pos
52254,nieprawomyślność,subst:sg:nom:f
52255,taksować,ger:sg:nom:n:imperf:aff
52256,mikrometr,subst:sg:nom:m3
52257,Gitla,ign
52258,dopędzić,praet:sg:f:perf
52259,Rajchert,ign
52260,Zylbermana,ign
52261,odstępne,subst:sg:gen:n
52262,Eligiusz,subst:sg:nom:m1
52263,Niewiadomski,subst:sg:nom:m1
52264,Chaskielewiczowi,ign
52265,Chaskielewicza,ign
52266,furiat,subst:pl:nom:m1
52267,przodownik,subst:pl:inst:m1
52268,Piasecki,subst:sg:nom:m1
52269,Nowodworski,subst:sg:nom:m1
52270,Gruszczyńska,subst:sg:nom:f
52271,mdleć,praet:sg:f:imperf
52272,histerycznie,adv:pos
52273,Paschalski,ign
52274,Niedzielski,subst:sg:nom:m1
52275,Kowerdy,ign
52276,krasomówstwo,subst:sg:nom:n
52277,Lizariew,ign
52278,demaskatorski,adj:pl:gen:m1:pos
52279,fantazyjny,adj:sg:gen:m1:pos
52280,pojeździć,inf:perf
52281,drynda,subst:sg:gen:f
52282,spylić,inf:perf
52283,odpysknąć,praet:sg:m1:perf
52284,balik,subst:sg:loc:m3
52285,niezapowiedziany,adj:sg:nom:f:pos
52286,riboku,ign
52287,szpanować,fin:sg:ter:imperf
52288,haha,ign
52289,Mosfilmu,ign
52290,odęty,adj:pl:gen:m1:pos
52291,łysieć,praet:sg:m1:imperf
52292,fus,subst:pl:inst:m3
52293,steward,subst:pl:gen:m1
52294,kawowy,adj:sg:gen:f:pos
52295,wyretuszować,inf:perf
52296,lalkowaty,adj:sg:nom:f:pos
52297,Myszkin,ign
52298,Yankie,ign
52299,Doodle,ign
52300,salutować,pcon:imperf
52301,maitre,ign
52302,metaliczny,adj:sg:nom:m1:pos
52303,garota,subst:sg:gen:f
52304,autopilot,subst:sg:gen:m2
52305,Hemmings,ign
52306,dozować,pcon:imperf
52307,półuśmieszek,subst:pl:gen:m3
52308,pancernik,subst:pl:gen:m1
52309,muśnięcie,subst:sg:inst:n
52310,Darrell,ign
52311,Smoliarow,ign
52312,duba,ign
52313,Tumiłowa,ign
52314,przygasnąć,praet:sg:m1:perf
52315,poturlać,inf:perf
52316,nadgryźć,ppas:sg:acc:f:perf:aff
52317,Każeduba,ign
52318,Vomela,ign
52319,majestatycznie,adv:pos
52320,przylot,subst:sg:nom:m3
52321,Szopen,subst:sg:inst:m1
52322,cooo,ign
52323,tkalnia,subst:sg:nom:f
52324,pasiakowego,ign
52325,Kontraścikiem,ign
52326,lancecik,ign
52327,podkładka,subst:sg:acc:f
52328,absorbcji,ign
52329,lancet,subst:sg:inst:m3
52330,ochraniacz,subst:sg:gen:m3
52331,klaun,subst:pl:gen:m1
52332,Lefortowie,ign
52333,kongresówka,subst:sg:dat:f
52334,Miechów,subst:sg:loc:m3
52335,Korfanty,subst:sg:gen:m1
52336,Miałkowskiego,ign
52337,Kosiby,ign
52338,rtm,ign
52339,Cumfta,ign
52340,Halewskiego,ign
52341,Strasburger,ign
52342,osiemnastolatek,subst:sg:nom:m1
52343,Langiewicz,subst:sg:gen:m1
52344,Małogoszczą,ign
52345,atelier,subst:sg:nom:n
52346,aresztancki,adj:pl:gen:m1:pos
52347,Orenburg,subst:sg:loc:m3
52348,Ancewicza,ign
52349,Luciana,ign
52350,Frassati,subst:sg:nom:m1
52351,Gawrońska,subst:sg:nom:f
52352,Romeyko,ign
52353,Modelski,ign
52354,Ładoś,ign
52355,czerezwyczajką,ign
52356,rozpanoszyć,ger:sg:gen:n:perf:aff
52357,donosicielstwo,subst:sg:gen:n
52358,przesilenie,subst:sg:nom:n
52359,przywozowy,adj:pl:gen:m1:pos
52360,wywozowy,adj:pl:gen:m1:pos
52361,operat,subst:sg:nom:m3
52362,mierzyn,subst:sg:nom:m2
52363,Bezrzecze,ign
52364,podpłynąć,impt:sg:sec:perf
52365,zachrobotać,praet:sg:n:perf
52366,Softa,ign
52367,Osiełek,ign
52368,zzieleniały,adj:pl:gen:m1:pos
52369,sestercja,subst:pl:gen:f
52370,mydełko,subst:sg:nom:n
52371,Myrmidon,ign
52372,olibanem,ign
52373,musztardowy,adj:sg:nom:n:pos
52374,False,ign
52375,Osiełkowi,ign
52376,centaur,subst:sg:gen:m2
52377,zmyślenie,subst:sg:gen:n
52378,OSIEŁKA,ign
52379,Porfirion,subst:sg:gen:m1
52380,tylekroć,adv:pos
52381,Salińskiego,ign
52382,koreańsko,adv:pos
52383,wydolność,subst:sg:gen:f
52384,insulinozależną,ign
52385,ponadmiesięczny,adj:sg:nom:f:pos
52386,Machczyński,ign
52387,foodów,ign
52388,skrzyzowaniu,ign
52389,Reks,subst:sg:nom:m2
52390,Florczyk,ign
52391,siłaczka,subst:sg:gen:f
52392,fartowny,adj:sg:inst:m1:pos
52393,Studzińska,subst:sg:nom:f
52394,Studziński,subst:pl:nom:m1
52395,deszczówka,subst:sg:nom:f
52396,niefrasobliwy,adj:sg:nom:f:pos
52397,rozgrzewający,adj:sg:nom:f:pos
52398,bębniarz,subst:pl:gen:m1
52399,nierówne,subst:sg:inst:n
52400,Sztum,subst:sg:nom:m3
52401,dziupla,subst:sg:acc:f
52402,mglisty,adj:sg:nom:n:pos
52403,grzaniec,subst:sg:gen:m2
52404,nieetatowy,subst:sg:nom:m1
52405,połów,subst:sg:inst:m3
52406,gwarno,adv:pos
52407,rozdmuchać,praet:sg:f:perf
52408,AGFY,ign
52409,madonna,subst:sg:gen:f
52410,fragmentarycznie,adv:pos
52411,blenda,subst:sg:gen:f
52412,Jurand,subst:sg:nom:m1
52413,Marczewski,subst:sg:nom:m1
52414,foodu,ign
52415,McDonaldsa,ign
52416,Siauliai,ign
52417,Szaweł,subst:sg:loc:m1
52418,nawigator,subst:pl:nom:m1
52419,CRC,ign
52420,Karmelavie,ign
52421,2013,num:pl:nom:m1:rec
52422,Królewie,ign
52423,piaskarka,subst:sg:gen:f
52424,przenosiny,subst:pl:nom:n
52425,zaczarowany,adj:sg:nom:m1:pos
52426,całotygodniowy,adj:sg:nom:n:pos
52427,zintensyfikować,inf:perf
52428,kartuz,subst:pl:loc:m1
52429,Miszewa,ign
52430,przystawiać,ppas:sg:nom:n:imperf:aff
52431,Preszeva,ign
52432,Niekrasow,subst:sg:gen:m1
52433,Udadżalaka,ign
52434,chunchuzach,ign
52435,Urjadnik,ign
52436,Czau,ign
52437,fanza,subst:sg:gen:f
52438,pogardzić,fin:sg:ter:perf
52439,Kramer,ign
52440,odtrącać,fin:sg:ter:imperf
52441,przykładnie,adv:pos
52442,Sungaszę,ign
52443,Darłowo,subst:sg:nom:n
52444,Czaplinku,ign
52445,Złocieńcu,ign
52446,karabińczyk,subst:pl:loc:m3
52447,popakować,ppas:sg:nom:n:perf:aff
52448,Stryjeńska,subst:sg:nom:f
52449,saperski,adj:sg:nom:m1:pos
52450,dyżurować,fin:sg:ter:imperf
52451,Kazuniu,ign
52452,Brel,subst:sg:nom:m1
52453,Montand,subst:sg:nom:m1
52454,Brassens,ign
52455,haluszki,ign
52456,knedel,subst:sg:nom:m2
52457,Rayzacher,ign
52458,łebek,subst:pl:gen:m1
52459,troll,subst:pl:gen:m2
52460,wycedzić,praet:sg:m1:perf
52461,szrama,subst:sg:inst:f
52462,wybujały,adj:sg:nom:n:pos
52463,żniwno,ign
52464,omłotowy,adj:sg:nom:n:pos
52465,przetykać,ppas:sg:gen:m1:imperf:aff
52466,bławat,subst:pl:gen:m3
52467,kosiarz,subst:sg:gen:m1
52468,weprzeć,ppas:sg:nom:n:perf:aff
52469,ferment,subst:sg:gen:m3
52470,nieużytek,subst:pl:nom:m3
52471,jedwabnie,adv:pos
52472,praktykant,subst:sg:nom:m1
52473,POM-u,ign
52474,Niedzica,subst:sg:gen:f
52475,Paulako,ign
52476,Niebrzydowskiej,ign
52477,POM,ign
52478,WSR,ign
52479,podsuneły,ign
52480,cewka,subst:pl:gen:f
52481,zarwać,praet:sg:m1:perf
52482,bałamucić,inf:imperf
52483,diasek,subst:sg:gen:m2
52484,Beeornowi,ign
52485,chociaz,ign
52486,Leś,subst:pl:nom:m1
52487,bnt,ign
52488,hahahaha,ign
52489,pewnien,ign
52490,pałać,fin:sg:pri:imperf
52491,wzajem,adv:pos
52492,cośtam,ign
52493,onieśmielać,fin:sg:sec:imperf
52494,szlajać,fin:sg:ter:imperf
52495,Mekong,subst:pl:loc:m3
52496,rymować,ppas:sg:nom:f:imperf:aff
52497,phpoe,ign
52498,młodo,adv:pos
52499,powinen,ign
52500,dyndacze,ign
52501,popiskiwać,fin:sg:ter:imperf
52502,Gromek,ign
52503,strzepać,inf:perf
52504,Clintem,ign
52505,Eastwood,subst:sg:inst:m1
52506,KKMF,ign
52507,przeszczepowy,adj:sg:gen:m1:pos
52508,Staśkiewicz,ign
52509,EUROPOL,subst:sg:nom:m3
52510,kontraktacyjny,adj:pl:inst:m1:pos
52511,Laskownicy,ign
52512,kwi,ign
52513,oranżysta,subst:pl:nom:m1
52514,Boyne,ign
52515,1690,num:pl:nom:m1:rec
52516,frotka,subst:sg:gen:f
52517,słingowanie,ign
52518,słingowania,ign
52519,przecudowny,adj:sg:nom:n:pos
52520,socjalizacja,subst:sg:gen:f
52521,bandżi,ign
52522,seksuologiczny,adj:pl:gen:m1:pos
52523,sformatować,ppas:pl:gen:m1:perf:aff
52524,decybel,subst:pl:gen:m3
52525,zgorzelecki,adj:pl:gen:m1:pos
52526,MKOl,subst:sg:nom:m3
52527,KRLD,subst:sg:nom:f
52528,jung,subst:sg:nom:m1
52529,son,subst:sg:nom:m3
52530,niepoczytalność,subst:sg:gen:f
52531,XL,num:pl:nom:m1:rec
52532,319,num:pl:nom:m1:rec
52533,ulotnić,praet:pl:m1:perf
52534,kablować,ger:sg:nom:n:imperf:aff
52535,nadmieniać,fin:pl:pri:imperf
52536,Brzeziu,ign
52537,Kłaju,ign
52538,Żółkiewski,subst:sg:gen:m1
52539,flegmatycznie,adv:pos
52540,Halbert,ign
52541,Langer,ign
52542,Słomczyński,subst:sg:nom:m1
52543,zakładnica,subst:sg:gen:f
52544,pięćsetny,adj:sg:nom:m1:pos
52545,łapsko,adv:pos
52546,kramarz,subst:sg:gen:m1
52547,Zani,ign
52548,Szalawski,ign
52549,Świrskiego,ign
52550,jęczący,adj:sg:gen:m1:pos
52551,surrealistyczny,adj:sg:nom:m1:pos
52552,Zaniego,ign
52553,Feri,ign
52554,072,num:pl:nom:m1:rec
52555,Wn,ign
52556,Judyma,ign
52557,zakonspirować,ppas:sg:nom:m1:perf:aff
52558,studolarówka,subst:pl:gen:f
52559,narodowowyzwoleńczy,adj:sg:gen:m1:pos
52560,połóweczkę,ign
52561,zaprzyjaźniać,inf:imperf
52562,Mati,ign
52563,Higins,ign
52564,fejsbuk,subst:sg:loc:m2
52565,Elwro,ign
52566,opluć,praet:sg:f:perf
52567,Satyrykon,ign
52568,Luboradzu,ign
52569,Wififi,ign
52570,Zemia,ign
52571,Philip,ign
52572,Morris,ign
52573,życzeniowy,adj:sg:nom:m1:pos
52574,Tajpej,ign
52575,Jing,ign
52576,ósmoklasista,subst:pl:gen:m1
52577,zacietrzewiać,fin:sg:ter:imperf
52578,Kapkowskiego,ign
52579,smółka,subst:sg:acc:f
52580,Bondaryka,ign
52581,obstawa,subst:sg:inst:f
52582,goryl,subst:sg:gen:m1
52583,kuban,subst:sg:nom:m3
52584,Cziną,ign
52585,Amikiem,ign
52586,Czoko,ign
52587,Czerniowska,ign
52588,arkan,subst:sg:nom:m3
52589,Endaksi,ign
52590,Leksztonia,ign
52591,Elgaz,ign
52592,Leksztoń,ign
52593,podówczas,adv:pos
52594,zażaleniowy,adj:sg:gen:m1:pos
52595,wielkoprzemysłowy,adj:sg:gen:f:pos
52596,Kuala,ign
52597,Lumpur,ign
52598,Hsinchu,ign
52599,jaszczurczy,adj:sg:gen:m1:pos
52600,ZJ,ign
52601,NOW,ign
52602,Ulichnowski,ign
52603,Manugiewicz,ign
52604,flirt,subst:sg:nom:m3
52605,tbiliski,adj:sg:gen:m1:pos
52606,Abchaz,subst:pl:inst:m1
52607,Gamsahurdią,ign
52608,wstecznik,subst:sg:inst:m1
52609,płochy,adj:sg:nom:n:pos
52610,szczeropolski,adj:sg:nom:n:pos
52611,Goskomstat,ign
52612,Kiełpikowski,ign
52613,Krzesiński,subst:sg:nom:m1
52614,Wienandem,ign
52615,Elvis,subst:sg:inst:m1
52616,Gregory,ign
52617,Stencel,ign
52618,Polamu,ign
52619,developer,subst:pl:gen:m1
52620,Zamachowski,ign
52621,Kędzierska,subst:sg:nom:f
52622,sarajewski,adj:pl:nom:m1:pos
52623,militaryzm,subst:sg:loc:m3
52624,Żochowski,subst:sg:gen:m1
52625,szczerbiec,subst:sg:gen:m3
52626,arcy,ign
52627,mowią,ign
52628,Szmigiel,ign
52629,Watergate,subst:sg:nom:f
52630,Nixon,subst:sg:gen:m1
52631,Woodward,ign
52632,Bernstein,ign
52633,Dustin,subst:sg:nom:m1
52634,Lumiere,subst:sg:nom:m1
52635,Ciotat,ign
52636,wyklinać,ppas:sg:nom:m1:imperf:aff
52637,Leźnica,ign
52638,Sieradzkie,subst:sg:inst:n
52639,parzęczewski,adj:sg:nom:f:pos
52640,zamazywać,pact:sg:acc:f:imperf:aff
52641,bambule,ign
52642,odważnik,subst:pl:nom:m3
52643,Robin,subst:sg:nom:m1
52644,Cook,subst:sg:nom:m1
52645,2025,num:pl:nom:m1:rec
52646,Mobutu,subst:sg:nom:m1
52647,Harare,ign
52648,stewardesa,subst:sg:gen:f
52649,bostoński,adj:sg:nom:m1:pos
52650,Our,ign
52651,Bodies,ign
52652,Selves,ign
52653,Dżilas,ign
52654,Tito,subst:sg:gen:m1
52655,urynkowić,ger:sg:inst:n:perf:aff
52656,Dżilasa,ign
52657,WiP-owców,ign
52658,WiP,subst:sg:gen:m3
52659,Tarbes,ign
52660,Geoffrey,ign
52661,fragmentacja,subst:sg:nom:f
52662,Beers,ign
52663,kartel,subst:pl:nom:m3
52664,Guriewicz,ign
52665,hara,subst:pl:gen:f
52666,Homa,ign
52667,paręset,num:pl:nom:m1:rec
52668,slumsowych,ign
52669,ogrzewczy,adj:sg:nom:n:pos
52670,Maastricht,subst:sg:nom:m3
52671,Czubajsa,ign
52672,Bieriezowskiego,ign
52673,Giennadij,ign
52674,Biereziowskiego,ign
52675,regencki,adj:sg:gen:f:pos
52676,Jabłoka,ign
52677,Jawlinski,ign
52678,Luisa,ign
52679,Batista,ign
52680,kontradmirał,subst:sg:inst:m1
52681,Batistą,ign
52682,Dominikana,subst:sg:gen:f
52683,krocz,subst:sg:gen:m3
52684,kładzione,subst:pl:nom:n
52685,wywózka,subst:sg:gen:f
52686,Bychowskiej,ign
52687,Bychowski,ign
52688,Gecobank,ign
52689,kapitalizować,ppas:sg:nom:n:imperf:aff
52690,kwartalnie,adv:pos
52691,Weltza,ign
52692,napastować,praet:sg:m1:imperf
52693,Dylan,subst:sg:nom:m1
52694,zgnębiony,adj:sg:gen:m1:pos
52695,Geller,ign
52696,rozgrzeszać,ger:sg:gen:n:imperf:aff
52697,Przybyłowicz,ign
52698,krzyczący,adj:sg:nom:m1:pos
52699,moratorium,subst:sg:nom:n
52700,Olsen,ign
52701,speedway,subst:sg:gen:m3
52702,Vojens,ign
52703,reIssa,subst:sg:nom:f
52704,Lechita,subst:pl:nom:m1
52705,trzecioligowiec,subst:sg:gen:m1
52706,remienie,subst:pl:gen:n
52707,zdopingować,praet:sg:f:perf
52708,Jeziorakiem,ign
52709,Szukiełowicz,ign
52710,Gieysztor,subst:sg:nom:m1
52711,Szyszko,subst:sg:nom:m1
52712,wczepiać,fin:pl:ter:imperf
52713,brązowawy,adj:sg:nom:n:pos
52714,rudzieć,fin:pl:ter:imperf
52715,Wandokanty,ign
52716,Bocheńska,subst:sg:nom:f
52717,Goma,ign
52718,UNHCR,ign
52719,Ruth,ign
52720,BRE,subst:sg:nom:m3
52721,niedouczenie,subst:sg:gen:n
52722,zmalały,adj:sg:nom:f:pos
52723,Dobrucki,ign
52724,transferowy,adj:sg:acc:f:pos
52725,Dziubeczka,ign
52726,pikuś,subst:sg:gen:m2
52727,rozświetlać,fin:pl:ter:imperf
52728,Petuli,ign
52729,seter,subst:sg:nom:m2
52730,Szymura,ign
52731,mężatka,subst:sg:inst:f
52732,Rotary,ign
52733,Micomp,ign
52734,045,num:pl:nom:m1:rec
52735,032,num:pl:nom:m1:rec
52736,517,num:pl:nom:m1:rec
52737,518,num:pl:nom:m1:rec
52738,609,num:pl:nom:m1:rec
52739,lac,ign
52740,vinum,ign
52741,medicinum,ign
52742,testamentum,ign
52743,fac,ign
52744,bikiniarstwo,subst:sg:nom:n
52745,staromodny,adj:sg:acc:f:pos
52746,krzykliwość,subst:sg:inst:f
52747,solidarycy,ign
52748,Sochaczew,subst:sg:loc:m3
52749,przeprawiać,inf:imperf
52750,Kobek,ign
52751,skierniewicki,adj:sg:nom:m1:pos
52752,Charzewski,ign
52753,nagasuram,ign
52754,altowy,adj:sg:inst:m1:pos
52755,burzyciel,subst:pl:gen:m1
52756,strzałowy,subst:pl:gen:m1
52757,Hachette,ign
52758,goliński,adj:sg:dat:m1:pos
52759,Międzika,ign
52760,safanduła,subst:sg:inst:m1
52761,małem,ign
52762,Żabusia,ign
52763,Rudek,subst:sg:nom:m1
52764,Mastalerz,ign
52765,słodziutki,adj:sg:nom:m1:pos
52766,Ghedina,ign
52767,zjazdowiec,subst:sg:nom:m1
52768,Wengen,ign
52769,instruktorka,subst:sg:nom:f
52770,Cabaj,ign
52771,jedenastoletni,adj:sg:nom:m1:pos
52772,525,num:pl:nom:m1:rec
52773,kazachstański,adj:sg:nom:m1:pos
52774,rosyjskojęzyczny,adj:sg:gen:f:pos
52775,Smirnow,ign
52776,Gelberg,ign
52777,dozorczyni,subst:sg:nom:f
52778,sukcesja,subst:sg:gen:f
52779,Iwicki,ign
52780,Urbanatora,ign
52781,Reading,ign
52782,Rollins,ign
52783,Screaming,ign
52784,Trees,ign
52785,Mudhoney,ign
52786,L7,ign
52787,Phonogramem,ign
52788,Peela,ign
52789,Trętowski,ign
52790,dłuż,subst:sg:gen:f
52791,przysnąć,fin:sg:pri:perf
52792,walcownia,subst:sg:nom:f
52793,skaptować,ger:sg:nom:n:perf:aff
52794,długogenny,ign
52795,łańcuchowa,subst:pl:nom:f
52796,241,num:pl:nom:m1:rec
52797,tekścik,subst:pl:gen:m3
52798,zachłystywać,praet:sg:m1:imperf
52799,straganiarz,subst:pl:inst:m1
52800,dwukołowy,adj:sg:nom:n:pos
52801,zdestabilizować,fin:sg:ter:perf
52802,Wembley,subst:sg:nom:n
52803,cudotwórca,subst:sg:inst:m1
52804,wartościowo,adv:pos
52805,podaż,subst:sg:nom:f
52806,Tanya,ign
52807,Eugene,ign
52808,Nickerson,ign
52809,voyagerom,ign
52810,Voyager,ign
52811,wężownik,subst:sg:gen:m3
52812,3888,num:pl:nom:m1:rec
52813,chronologicznie,adv:pos
52814,szalbierz,subst:pl:gen:m1
52815,Krzeszewski,ign
52816,debel,subst:sg:nom:m2
52817,neoimperialny,adj:sg:nom:n:pos
52818,Lugar,ign
52819,Szirazu,ign
52820,Isfahanu,ign
52821,ikarus,subst:pl:nom:m2
52822,Chomeini,subst:sg:inst:m1
52823,irańsko,adv:pos
52824,biznesmenka,subst:sg:nom:f
52825,samookreślenie,subst:sg:inst:n
52826,fatimski,adj:sg:nom:f:pos
52827,pronit,subst:sg:nom:m3
52828,UCLA,ign
52829,NCAA,ign
52830,NBA,subst:sg:nom:n
52831,ślęczeć,praet:pl:m1:imperf
52832,zadumany,adj:sg:nom:m1:pos
52833,sałatkowy,adj:sg:gen:m1:pos
52834,sałatkarnia,subst:sg:nom:f
52835,McEnroe,ign
52836,Tiegemberg,ign
52837,handelek,subst:sg:gen:m3
52838,Winczakiewicz,ign
52839,TiFC,ign
52840,muzykolog,subst:pl:nom:m1
52841,bojler,subst:sg:nom:m3
52842,Demoskop,ign
52843,Prusiner,ign
52844,prion,subst:pl:gen:m3
52845,azylant,subst:pl:gen:m1
52846,masowiec,subst:pl:gen:m2
52847,503,num:pl:nom:m1:rec
52848,Panama,subst:sg:gen:f
52849,Liberia,subst:sg:nom:f
52850,kwatermistrz,subst:sg:inst:m1
52851,Azer,subst:pl:nom:m1
52852,karabaski,adj:sg:inst:m1:pos
52853,manat,subst:sg:nom:m2
52854,nierozdzielnie,adv:pos
52855,Sistema,ign
52856,Cheve,ign
52857,K2,ign
52858,Zawada,subst:sg:inst:m1
52859,Kaharem,ign
52860,Xiamen,ign
52861,magnetowid,subst:pl:nom:m3
52862,Kader,ign
52863,futerkowy,adj:sg:nom:n:pos
52864,dziewiczość,subst:sg:nom:f
52865,unikatowość,subst:sg:nom:f
52866,Jakubowicz,ign
52867,Kutz,subst:sg:nom:m1
52868,tarczyński,adj:sg:gen:f:pos
52869,Emfazego,ign
52870,Treurnichtowi,ign
52871,ugodowość,subst:sg:nom:f
52872,pasywność,subst:sg:nom:f
52873,Afrykaner,subst:pl:gen:m1
52874,uosabiać,praet:sg:m1:imperf
52875,Afrikaaner,ign
52876,Volksunie,ign
52877,Żelazowski,subst:sg:nom:m1
52878,feudalizm,subst:sg:nom:m3
52879,CETECH,ign
52880,dy,ign
52881,Klose,ign
52882,Prefabet,ign
52883,cupać,impt:sg:sec:imperf
52884,Stoiczkow,ign
52885,pruszkowianom,ign
52886,Pogonii,ign
52887,Saporty,ign
52888,Rudzianie,ign
52889,655,num:pl:nom:m1:rec
52890,rencistka,subst:sg:nom:f
52891,Juergena,ign
52892,Fuchsa,ign
52893,Zersetzung,ign
52894,Fuchs,ign
52895,Ardzinba,ign
52896,Ardzinbie,ign
52897,abchasko,adv:pos
52898,Juventus,ign
52899,Stadio,ign
52900,Alpi,ign
52901,Bianco,ign
52902,neri,ign
52903,dogrzebać,ger:sg:nom:n:perf:aff
52904,Faraniak,ign
52905,Jekaterynburgu,ign
52906,Lebiedź,subst:sg:inst:m1
52907,Ungera,ign
52908,trzydrzwiowy,adj:sg:nom:f:pos
52909,Civic,ign
52910,czterodrzwiowy,adj:sg:nom:f:pos
52911,nobliwość,subst:sg:nom:f
52912,Accorda,ign
52913,restytuować,praet:sg:m1:imperf
52914,superrząd,subst:sg:gen:m3
52915,Dobrziszu,ign
52916,Hindemith,subst:sg:gen:m1
52917,Prokofiew,subst:sg:gen:m1
52918,zaklepywać,praet:pl:m1:imperf
52919,Perugia,subst:sg:gen:f
52920,Foligno,ign
52921,Rapanelli,ign
52922,Macchine,ign
52923,Olearie,ign
52924,Ezia,ign
52925,milowy,adj:sg:nom:m1:pos
52926,reintegracja,subst:sg:gen:f
52927,Stefanik,ign
52928,Paciorkowski,subst:sg:gen:m1
52929,Wyciszkiewicz,ign
52930,Putramenta,ign
52931,poźniejszego,ign
52932,marginalizować,fin:pl:ter:imperf
52933,skrupulant,subst:pl:nom:m1
52934,Iowa,subst:sg:nom:f
52935,Writers,ign
52936,Workshop,ign
52937,Setting,ign
52938,Free,ign
52939,Bears,ign
52940,Pound,ign
52941,Marriage,ign
52942,biatlonista,subst:sg:nom:m1
52943,Marczułajtis,ign
52944,Paszyński,ign
52945,Duerrenmatta,ign
52946,Pampiglione,ign
